food,pricerange,area,name,utts
,,south,,Hi. I'm trying to find a good restaurant in the south part of town.
world,,centre,,I am looking for a restaurant in the centre that serves world food.
mediterranean,,,,looking for mediterranean food
english,moderate,,,I would like a moderately priced restaurant that serves english food
chinese,,,,I really have a craving for some good chinese food. Can you suggest a place?
kosher,,,,"Hi, can you please help me find a restaurant that serves Kosher food?"
modern european,,,,I really need to find a restaurant that serves modern european food. An expensive one is fine.
,cheap,east,,Can you please recommend an inexpensive restaurant in the East part of town?
lebanese,,dontcare,,"Hello, I am looking for a Lebanese restaurant in any area. Could you please provide me with a phone number and postcode? I'm very hungry and need food!!"
,expensive,centre,,I am looking for a restaurant in the centre in the expensive price range
indian,,north,,Indian in the north
,,,lan hong house,I am looking for a restaurant called lan hong house. Can you get me more information about it please?
asian,,centre,,I am looking for a asian restaurant in the centre
chinese,,centre,,I'd like to find a Chinese restaurant in the center of town.
,,,shanghai family restaurant,Hello I'm looking for the shanghai family restaurant.
,cheap,centre,,I would like to find a cheap restaurant in the centre.
,,,,Hi! Can you help me find a particular restaurant?
,,centre,,I want a place to dine that is in the centre please.
canapes,,centre,,I'd like a resturant in the centre of town that serves Canapes food.
cantonese,,north,,I am looking for a cantonese restaurant in the north part of town.
,,,royal standard,I am looking for a particular restaurant. Its name is called royal standard
corsica,,,,I want to find a restaurant serves corsica food please.
,,,,Can you provide me with a great eatery in Cambridge please
,,,,Hi! I am so excited to be traveling to Cambridge. Would you please help me look for a place to eat while I am there?
,,west,,Hi Can you help me find a restauant in the west side of the city?>
,,north,,I want to get a place to eat in the north.
italian,cheap,,,I am looking for a restaurant in the cheap price range that serves Italian food.
,moderate,north,,I am looking for a reasonably priced restaurant in the north part of town.
international,,,,I want a restaurant that serves international cuisine.
,,centre,,I'm looking for a place to eat in the centre of town.
asian,moderate,,,"Hi, can you recommend me a good Asian restaurant? Something not too expensive?"
indonesian,,centre,,"Hello, I am looking for a restaurant in the centre of town that serves Indonesian food."
,,centre,,"Hi, I am looking for a place to eat in the centre of town."
,expensive,centre,,I am looking for an expensive place to dine in the centre of town.
chinese,moderate,,,I am looking for a moderate priced Chinese food place.
chinese,,,,I'm looking for a chinese restaurant.
,,,the missing sock,I'd like to find information for the restaurant called The Missing Sock.
,moderate,north,,a moderately priced restaurant in the north part of town?
,,centre,,Please help me find somewhere to eat in the centre
,cheap,south,,Hello. Can you help me find the address of an inexpensive restaurant in the south part of town?
indonesian,,centre,,Are there any Indonesian restaurants in the centre?
christmas,,south,,I would like a restaurant in the south part of town that serves christmas food
malaysian,,west,,malaysian food in the west part of town
,,,ask,"Hi, could you help me find a restaurant called ask."
,,,sitar tandoori,I am looking for a restaurant sitar tandoori. Can you give me more information?
,,,taj tandoori,"Hello, I am looking for a restaurant name taj tandoori."
,,,ask,"I am looking for information on a restaurant, the name of the place is ask. Can you tell me about it?"
irish,,dontcare,,I'm looking for a restaurant serving Irish food in any area.
,,,sitar tandoori,"Yes, I need some help and information pertaining to a particular restaurant. The name of the restaurant is Sitar Tandoori. I'd like some information on the place if you can help."
mediterranean,expensive,,,I'm looking for an expensive mediterranean restaurant.
chinese,expensive,,,i am looking for a place to dine. The restaurant should serve chinese food and should be in the expensive price range.
portuguese,cheap,,,I'm looking for a cheap restaurant that serves portugese food.
,,,nirala,I'm looking for a restaurant called The Nirala. Can you tell me where it is?
spanish,,dontcare,,I want to find a restaurant in any area and serves spanish food. What is the phone number and address?
chinese,,centre,,I want to dine at a Chinese food place in the centre area.
,,,graffiti,I'm looking for a restaurant called graffiti.
,cheap,north,,I want to find a cheap restaurant in the north part of town.
indonesian,,east,,I would like a restaurant in the east part of town that serves indonesian food
,moderate,south,,Please suggest me some moderately priced restaurant in the south.
,expensive,north,,I want to find an expensive restaurant in the north part of town.
fusion,,centre,,Can you suggest any local restaurants in the centre that serve fusion food? Thanks.
,moderate,west,,I want a moderate priced restaurant in the west part of town.
,expensive,centre,,I'm looking for an expensive restaurant in the centre of town.
,,,,Would you be so kind as to help me find a place to dine later?
chinese,,,,I would like to book a meal at a chinese restaurant.
turkish,,,,I'm looking for a restaurant that serves Turkish food.
christmas,,,,Are there any places that serve Christmas food? I heard there might be something like that around here.
,,,the missing sock,I'll be in there next week and my friend told me about a restaurant called The Missing Sock. Could you tell me where they are located?
vegetarian,expensive,,,I would like an expensive restaurant that serves vegetarian food
creative,moderate,,,I would like a moderately priced restaurant that serves creative food.
,,,the slug and lettuce,I need to find a certain restaurant called the slug and lettuce.
,,,pizza express,I'm looking for a particular restaurant called the Pizza Express
cuban,expensive,centre,,"Hi, I am looking for a high-end Cuban restaurant in Cambridge."
,moderate,west,,I am looking for a restaurnt in the west end that isn't too high priced.
danish,,south,,I want a danish restaurant in the south.
italian,,centre,,Can you help me find an Italian restaurant in the city center?
italian,expensive,,,I am looking for an expensive Italian restaurant.
chinese,,,,"Hi there, can you help me find a good Chinese restaurant? I seriously need some egg rolls."
bistro,,,,I am looking for bistro food.
panasian,expensive,,,"Can you help me find an expensive Panasian restaurant, please?"
welsh,expensive,,,I am looking for an expensive restaurant that serves Welsh food.
,,,saffron brasserie,"Hi, I am looking for information on a restaurant it's called saffron brasserie."
,moderate,east,,A moderately priced restaurant in the east part of town
